id,client_id,pipeline_id,rule_type,threshold,window_minutes,channel,destination,is_enabled,created_at,updated_at
284aedeb-1fb5-5a78-bb1d-8b7629eef4c7,4e7a1b2c-0d9e-4a6f-8b1c-3e2d1c0b9a45,3c4d5e6f-7081-4cc7-0819-2a3b4c5d6e7f,failures_in_window,2,10,slack,#data-alerts,true,2025-11-11T07:25:00Z,2025-11-24T07:25:00Z
79fbabbe-d292-5fb5-941c-112d551c4814,c9b1d8a0-2b7c-4c2f-9b2e-7b8d0c1a2e34,,on_failure,,,slack,#data-alerts,true,2026-01-14T16:28:00Z,2026-01-23T16:28:00Z
06a27043-6628-5cda-8a60-edf9aa3a772b,6f5e4d3c-2b1a-4c9d-8e7f-0a1b2c3d4e01,,on_failure,,,slack,#etl-reliability,true,2025-11-27T00:13:00Z,2025-12-13T00:13:00Z
6a982937-8349-5455-825c-5c38b5f870b9,6f5e4d3c-2b1a-4c9d-8e7f-0a1b2c3d4e01,8192a3b4-c5d6-411c-6f70-8091a2b3c4d5,on_failure,,,email,data-alerts@example.com,true,2025-11-11T19:38:00Z,2025-11-29T19:38:00Z
a5ed3747-bd9e-505b-9e6f-3931451b5ff0,9f3c2a1b-5d6e-4f7a-8b9c-1a2b3c4d5e56,5e6f7081-92a3-4ee9-2a3b-4c5d6e7f8091,failures_in_window,5,30,webhook,https://ops.example.internal/hooks/chm-oncall,true,2025-12-10T23:46:00Z,2025-12-24T23:46:00Z
9e383ceb-f7af-5aba-ae29-36eec212e695,4e7a1b2c-0d9e-4a6f-8b1c-3e2d1c0b9a45,2b3c4d5e-6f70-4bb6-f708-192a3b4c5d6e,failures_in_window,3,10,email,platform-alerts@example.com,true,2025-11-18T02:29:00Z,2025-11-28T02:29:00Z
88778705-7a66-5fe2-8982-146ec21dbfb1,4e7a1b2c-0d9e-4a6f-8b1c-3e2d1c0b9a45,091a2b3c-4d5e-49b4-d5e6-f708192a3b4c,failures_in_window,6,20,webhook,https://ops.example.internal/hooks/chm-data,true,2025-11-21T03:08:00Z,2025-12-06T03:08:00Z
5177145d-fd24-5273-b4b4-ea26830a064f,9f3c2a1b-5d6e-4f7a-8b9c-1a2b3c4d5e56,708192a3-b4c5-400b-4c5d-6e7f8091a2b3,on_failure,,,email,oncall@example.com,false,2025-11-01T13:49:00Z,2025-11-14T13:49:00Z
b56826ed-c1d7-5c52-b74b-949b541d6ef4,8a7b6c5d-4e3f-4a2b-9c8d-7e6f5a4b3c78,,on_failure,,,webhook,https://ops.example.internal/hooks/chm-oncall,true,2025-12-26T12:16:00Z,2026-01-12T12:16:00Z
257ba4ee-ec83-588e-bff0-b206ed1cf538,3c2b1a0f-9e8d-4c7b-8a6f-5d4c3b2a1f89,3c4d5e6f-7081-4cc7-1a2b-3c4d5e6f7080,failures_in_window,7,10,email,platform-alerts@example.com,true,2026-02-08T10:58:00Z,2026-02-21T23:00:00Z
c61221f8-cf06-5c21-9895-91915255072b,c9b1d8a0-2b7c-4c2f-9b2e-7b8d0c1a2e34,f8091a2b-3c4d-48a3-c4d5-e6f708192a3b,on_failure,,,email,data-alerts@example.com,true,2025-11-21T17:27:00Z,2025-12-06T17:27:00Z
df708be5-66df-5168-879f-586d8180bcfe,8a7b6c5d-4e3f-4a2b-9c8d-7e6f5a4b3c78,f8091a2b-3c4d-4883-c4d5-e6f7091a2b3c,on_failure,,,webhook,https://ops.example.internal/hooks/chm-data,true,2026-01-14T10:30:00Z,2026-01-27T10:30:00Z
2352748d-6950-5808-b6b5-55f2c6c81308,9f3c2a1b-5d6e-4f7a-8b9c-1a2b3c4d5e56,4d5e6f70-8192-4dd8-192a-3b4c5d6e7f80,failures_in_window,2,30,slack,#etl-reliability,true,2025-12-16T15:08:00Z,2025-12-16T15:08:00Z
c5ac2739-e350-5616-b822-7968cc4eebbd,3c2b1a0f-9e8d-4c7b-8a6f-5d4c3b2a1f89,2b3c4d5e-6f70-4bb6-f709-1a2b3c4d5e6f,on_failure,,,slack,#data-alerts,true,2025-12-20T01:11:00Z,2025-12-28T01:11:00Z
bf067bde-bdfc-546d-a241-e5dd170c1e67,3c2b1a0f-9e8d-4c7b-8a6f-5d4c3b2a1f89,,on_failure,,,email,platform-alerts@example.com,true,2025-10-25T03:30:00Z,2025-11-18T03:30:00Z
b9644b89-3ebe-5dd4-8618-5fd9d8a9bd48,ab12cd34-ef56-4789-9abc-def012345678,92a3b4c5-d6e7-422d-7080-91a2b3c4d5e6,failures_in_window,3,15,webhook,https://ops.example.internal/hooks/chm-reliability,true,2025-12-30T00:21:00Z,2026-01-13T00:21:00Z
85cdcbe9-04e7-59c4-be53-6b1e8190ba74,9f3c2a1b-5d6e-4f7a-8b9c-1a2b3c4d5e56,708192a3-b4c5-400b-4c5d-6e7f8091a2b3,on_failure,,,email,data-alerts@example.com,true,2025-12-18T05:14:00Z,2026-01-07T05:14:00Z
9e7ddfa3-dfd8-51e1-b8f7-851bb45f1bb6,3c2b1a0f-9e8d-4c7b-8a6f-5d4c3b2a1f89,2b3c4d5e-6f70-4bb6-f709-1a2b3c4d5e6f,failures_in_window,8,60,slack,#ops-oncall,false,2025-12-11T20:59:00Z,2026-01-05T20:59:00Z
