id,pipeline_id,external_run_id,status,started_at,finished_at,duration_seconds,rows_processed,error_message,status_reason,payload,ingested_at,created_at,updated_at
1cd09d8b-fa99-5e61-ba09-1813a236ede3,0f1e2d3c-4b5a-4978-8c9d-0e1f2a3b4c5d,daily-ops-orchestrate-20251101-0001,success,2025-11-01T05:38:51Z,2025-11-01T05:56:57Z,1086,9901,,,"{""attempt"":2,""environment"":""prod"",""pipeline_type"":""healthcheck"",""platform"":""airflow"",""source"":""synthetic-orchestrator-v1""}",2025-11-01T05:56:51Z,2025-11-01T05:56:51Z,2025-11-01T05:56:51Z
e44ef1b4-163b-5a64-a8c0-37999742e375,92a3b4c5-d6e7-424d-6e7f-8091a2b3c4d5,sales-marts-20251101-0001,canceled,2025-11-01T05:53:52Z,2025-11-01T06:58:18Z,3866,195934,,,"{""attempt"":2,""environment"":""prod"",""pipeline_type"":""transform"",""platform"":""dbt"",""source"":""synthetic-orchestrator-v1""}",2025-11-01T06:06:52Z,2025-11-01T06:06:52Z,2025-11-01T06:06:52Z
b6fe7834-c043-59de-829c-6dce3369e859,1a2b3c4d-5e6f-4aa5-e6f7-091a2b3c4d5e,fraud-features-20251101-0001,failed,2025-11-01T06:32:05Z,2025-11-01T07:41:56Z,4191,602572,API rate limit exceeded,upstream_throttle,"{""attempt"":3,""environment"":""staging"",""pipeline_type"":""transform"",""platform"":""custom"",""source"":""synthetic-orchestrator-v1""}",2025-11-01T06:54:05Z,2025-11-01T06:54:05Z,2025-11-01T06:54:05Z
dfe5f550-126b-5f66-a71f-c87f4de0bee9,c5d6e7f8-091a-4550-91a2-b3c4d5e6f709,marketplace-ingest-20251101-0001,success,2025-11-01T08:46:54Z,2025-11-01T09:56:56Z,4202,1691777,,,"{""attempt"":1,""environment"":""prod"",""pipeline_type"":""ingestion"",""platform"":""vendor_api"",""source"":""synthetic-orchestrator-v1""}",2025-11-01T09:06:54Z,2025-11-01T09:06:54Z,2025-11-01T09:06:54Z
353cadc2-d265-5a2f-8654-59a61b89cd3d,6f708192-a3b4-4ffa-3b4c-5d6e7f8091a2,metering-marts-20251101-0001,failed,2025-11-01T08:52:47Z,2025-11-01T10:27:54Z,5707,1676980,Schema mismatch detected in source payload,schema_drift,"{""attempt"":3,""environment"":""staging"",""pipeline_type"":""transform"",""platform"":""dbt"",""source"":""synthetic-orchestrator-v1""}",2025-11-01T09:00:47Z,2025-11-01T09:00:47Z,2025-11-01T09:00:47Z
41f56db0-31c9-5cec-b774-3a769de03ecc,b4c5d6e7-f809-444f-91a2-b3c4d5e6f708,procurement-20251101-0001,success,2025-11-01T09:38:47Z,2025-11-01T10:38:39Z,3592,1374070,,,"{""attempt"":1,""environment"":""staging"",""pipeline_type"":""ingestion"",""platform"":""vendor_api"",""source"":""synthetic-orchestrator-v1""}",2025-11-01T09:54:47Z,2025-11-01T09:54:47Z,2025-11-01T09:54:47Z
35c9abc0-f9f9-5f22-b4d7-e9e8c649ff71,f8091a2b-3c4d-48a3-c4d5-e6f708192a3b,sensor-stream-20251101-0001,success,2025-11-01T17:55:10Z,2025-11-01T19:17:48Z,4958,2369672,,,"{""attempt"":3,""environment"":""dev"",""pipeline_type"":""ingestion"",""platform"":""vendor_api"",""source"":""synthetic-orchestrator-v1""}",2025-11-01T17:57:10Z,2025-11-01T17:57:10Z,2025-11-01T17:57:10Z
c1b8c273-a1a2-53cd-88d1-77a6ae284f33,4d5e6f70-8192-4dd8-192a-3b4c5d6e7f80,scada-ingest-20251101-0001,success,2025-11-01T22:45:21Z,2025-11-02T00:12:49Z,5248,4726402,,,"{""attempt"":3,""environment"":""prod"",""pipeline_type"":""ingestion"",""platform"":""vendor_api"",""source"":""synthetic-orchestrator-v1""}",2025-11-01T23:05:21Z,2025-11-01T23:05:21Z,2025-11-01T23:05:21Z
728f1a0e-b662-525e-a889-571e23efc214,e7f8091a-2b3c-4772-b3c4-d5e6f7091a2b,experiments-20251102-0001,success,2025-11-02T04:29:14Z,2025-11-02T04:43:17Z,843,8686,,,"{""attempt"":1,""environment"":""dev"",""pipeline_type"":""healthcheck"",""platform"":""custom"",""source"":""synthetic-orchestrator-v1""}",2025-11-02T04:48:14Z,2025-11-02T04:48:14Z,2025-11-02T04:48:14Z
2b6f46f8-f839-594a-a783-3096091c0a6a,f8091a2b-3c4d-4883-c4d5-e6f7091a2b3c,crm-sync-20251102-0001,canceled,2025-11-02T05:37:50Z,2025-11-02T05:53:37Z,947,308153,,,"{""attempt"":2,""environment"":""staging"",""pipeline_type"":""export"",""platform"":""vendor_api"",""source"":""synthetic-orchestrator-v1""}",2025-11-02T06:01:50Z,2025-11-02T06:01:50Z,2025-11-02T06:01:50Z
